Category_Type,Content_Format,Likes,Comments,Views,Shares,Saves,Duration_Seconds,Full_Text_Content,Post_URL_Reference,User_Comment_1,User_Comment_2,User_Comment_3,User_Comment_4,User_Comment_5,Hook_Type,Posting_Time,Primary_Hashtag,Hashtag_Global_Post_Count,Hashtag_Daily_Growth_Rate_%,Search_Volume_Index,Trend_Lifecycle_Status
Mental Health,Video,62201,1209,3176995,3291,2168,1053,"How to manage your mental health | Leon Taylor | TEDxClapham | Prolonged psychological stress is the enemy of our mental health, and physical movement is our best weapon to respond.??? Leon Taylor is a former competitive diver who competed for TeamGB at three Olympic Games. Following retirement, he transitioned to the commentary booth where he works for the BBC. Leon has a passion for performance, wellness and movement spending much of his time now as a speaker, executive coach, and mentor to the next generation of sports stars. His enthusiasm and skill for mentoring have allowed him to work with a range of athletes across Olympic and Paralympic sports. Most recently playing the role of Athlete services lead at the pre-Games Camp in Brazil prior to TeamGB'srecord-breakingg 2nd place on the medal table. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",https://www.youtube.com/watch?v=rkZl2gsLUp4,An intense but deeply necessary conversation regarding our daily core habits.,Definitely bookmarking this video to take deeper notes later.,That specific point about where we go wrong was a massive wake-up call for me.,This is highly relatable analysis. The segment on behavioral patterns is perfect.,I never looked at the macro trends of mental health from this direct viewpoint.,Text Hook,Peak Hours (5PM-9PM),#relatable,16995,38.67,56,Rising Trend
Mental Health,Video,47113,2336,3180069,2706,1997,3116,"Mental health and resilience - the secrets of inner strength | DW Documentary | Around one billion people struggle with stress-related illness globally - and that figure is rising. What protects those with good mental health? Is their resilience innate? Or is the ability to withstand chronic stress and crisis something that can be learned?

In the search for answers, the film visits some of the leading figures in resilience research. The filmmakers also interview epigeneticists and neuroscientists. In the largest European resilience center in Mainz, Germany, researchers conduct a long-term study to explore the mechanisms deployed by people who enjoy good mental health despite stress and crisis. In southern France, the film meets Boris Cyrulnik, a pioneer of resilience research. His credo: when it comes to resilient behavior, it???s not just down to us - society and politics also have a responsibility to create appropriate conditions for stable psychological health. And the film tells the moving story of two families united by tragedy: following the violent death of their two sons, who were friends, they struggle to find their way back to some semblance of normal life.

Our experiences, our environment and our genes - all influence our powers of mental resilience. Resilience isn???t a magic word or a promise of happiness, but a life-long learning process.

#documentary #dwdocumentary 
______

DW Documentary gives you knowledge beyond the headlines. Watch top documentaries from German broadcasters and international production companies. Meet intriguing people, travel to distant lands, get a look behind the complexities of daily life and build a deeper understanding of current affairs and global events. Subscribe and explore the world around you with DW Documentary.

Subscribe to: 
??? DW Documentary (English): https://www.youtube.com/dwdocumentary
??? DW Documental (Spanish): https://www.youtube.com/dwdocumental
??? DW Documentary ?????????????? ???? ?????????? (Arabic): https://www.youtube.com/dwdocarabia
??? DW Doku (German): https://www.youtube.com/dwdoku
??? DW Documentary ?????????????????? (Hindi): https://www.youtube.com/dwdochindi

For more visit: http://www.dw.com/en/tv/docfilm/s-3610
Follow DW Documentary on Instagram: https://www.instagram.com/dwdocumentary/
Follow DW Documental on Facebook: https://www.facebook.com/dwdocumental

We kindly ask viewers to read and stick to the DW netiquette policy on our channel: https://p.dw.com/p/MF1G",https://www.youtube.com/watch?v=YdMCL9_UTE4,An intense but deeply necessary conversation regarding our daily core habits.,I highly appreciate the clean academic framing of these societal problems.,This perfectly highlights why long-term anxiety manifests in daily routines.,I never looked at the macro trends of mental health from this direct viewpoint.,The psychological structural explanation here is exactly what I needed to hear.,Visual Hook,Off-Peak Hours (9AM-1PM),#documentary,2060,27.98,62,Rising Trend
Mental Health,Video,85509,4159,14936404,4899,3605,13370,"Dr. Paul Conti: How to Understand & Assess Your Mental Health | Huberman Lab Guest Series | This is episode 1 of a 4-part special series on mental health with psychiatrist Dr. Paul Conti, M.D., who trained at Stanford School of Medicine and completed his residency at Harvard Medical School before founding his clinical practice, the Pacific Premiere Group.

Dr. Conti defines mental health in actionable terms and describes the foundational elements of the self, including the structure and function of the unconscious and conscious mind, which give rise to all our thoughts, behaviors, and emotions. He also explains how to explore and address the root causes of anxiety, low confidence, negative internal narratives, and over-thinking, as well as how our unconscious defense mechanisms operate.

This episode provides a foundational roadmap to assess your sense of self and mental health. It offers tools to reshape negative emotions, thought patterns, and behaviors ??? either through self-exploration or with a licensed professional.

The subsequent three episodes in this special series explore additional tools to further understand and improve your mental health.

Access the full show notes for this episode: https://go.hubermanlab.com/nkyO23n

*Thank you to our sponsors*
AG1: https://drinkag1.com/huberman
BetterHelp: https://betterhelp.com/huberman 
Waking Up: https://wakingup.com/huberman 
Momentous: https://livemomentous.com/huberman

*Huberman Lab Social & Website*
Instagram: https://www.instagram.com/hubermanlab 
Threads: https://www.threads.net/@hubermanlab
Twitter: https://twitter.com/hubermanlab 
Facebook: https://www.facebook.com/hubermanlab 
TikTok: https://www.tiktok.com/@hubermanlab 
LinkedIn: https://www.linkedin.com/in/andrew-huberman
Website: https://www.hubermanlab.com 
Newsletter: https://www.hubermanlab.com/newsletter

*Dr. Paul Conti*
Website: https://drpaulconti.com 
Pacific Premier Group: https://pacificpremiergroup.com 
Trauma: The Invisible Epidemic: How Trauma Works and How We Can Heal From It: https://amzlink.to/az01KBLaUX3m6
LinkedIn: https://www.linkedin.com/in/dr-paul-m-conti-845074216

*Timestamps*
00:00:00 Dr. Paul Conti
00:03:46 Sponsors: BetterHelp & Waking Up
00:06:55 What is a Healthy Self?
00:10:41 Agency & Gratitude; Empowerment & Humility 
00:16:13 Physical Health & Mental Health Parallels
00:20:21 Structure of Self; Unconscious vs. Conscious Mind; ???Iceberg???
00:26:15 Defense Mechanisms; Character Structure ???Nest???, Sense of Self 
00:31:27 Predispositions & Character Structure
00:36:01 Sponsor: AG1
00:37:27 Character Structure & Action States; Physical Health Parallels
00:46:20 Anxiety; Understanding Excessive Anxiety
00:53:12 Improving Confidence: State Dependence & Phenomenology; Narcissism
00:59:44 Changing Beliefs & Internal Narratives
01:06:04 Individuality & Addressing Mental Health Challenges
01:11:21 Mental Health Goals & Growth
01:17:32 Function of Self
01:23:00 Defense Mechanisms: Projection, Displacement
01:30:14 Projection, Displacement, Projective Identification
01:34:50 Humor, Sarcasm, Cynicism
01:40:41 Attention & Salience; Negative Internal Dialogue 
01:45:02 Repetition Compulsion & Defense Mechanism, Trauma
01:58:55 Mirror Meditation & Self Awareness; Structure & Function of Self, ???Cupboards???
02:04:57 Pillars of the Mind, Agency & Gratitude, Happiness
02:13:53 Generative Drive, Aggressive & Pleasure Drives
02:21:33 Peace, Contentment & Delight, Generative Drive; Amplification
02:24:18 Generative Drive, Amplification & Overcoming
02:33:00 Over-Thinking, Procrastination, Choices
02:42:20 Aggressive, Pleasure & Generative Drives, Envy
02:49:46 Envy, Destruction, Mass Shootings
02:55:38 Demoralization, Isolation, Low Aggressive Drive
03:02:50 Demoralization, Affiliate Defense 
03:09:32 Strong Aggressive Drive, Competition, Generative Drive Reframing 
03:20:02 Cultivating a Generative Drive, Spirited Inquiry of the ???Cupboards???
03:26:06 Current Mental Health Care & Medications
03:35:33 Role of Medicine in Exploration
03:40:41 Zero-Cost Support, YouTube Feedback, Spotify & Apple Reviews, Sponsors, Social Media, Momentous, Neural Network Newsletter

#HubermanLab #Science #MentalHealth

Disclaimer: https://hubermanlab.com/disclaimer",https://www.youtube.com/watch?v=tLRCS48Ens4,The psychological structural explanation here is exactly what I needed to hear.,The paradigm shift offered in this piece of content is profound.,My biggest issue is trying to break this cycle without feeling completely trapped.,An intense but deeply necessary conversation regarding our daily core habits.,I never looked at the macro trends of mental health from this direct viewpoint.,Visual Hook,Peak Hours (5PM-9PM),#hubermanlab,78020,63.3,95,Emerging (Pre-Mainstream)
Mental Health,Video,231474,26218,7248817,15506,13498,436,"10 Mental Illness Signs You Should Not Ignore | Mental illness, also known as mental health disorders, refers to a wide range of mental health problems that affect your mood, thinking, and behavior for a sustained period of time. Depression, anxiety disorders, schizophrenia, eating disorders, and addictive behaviors are examples of mental illnesses that can have a long-lasting impact on you. Are you wondering if your mental health is deteriorating? Do you remember the last time you felt sad, anxious, or scared that you were somehow ???off????  

As a disclaimer, do not use this video to self diagnose. These are more like warning signs that you should not ignore. Use them as a guide when talking to a professional when explaining how you are feeling. 

#mentalhealth #psych2go #mentalillness 

Related Videos: 
10 Common Mental Illnesses Crash Course
https://www.youtube.com/watch?v=IaSpas9hWNQ

7 Silent Facts About People Struggling With Their With Mental illness
https://www.youtube.com/watch?v=nG1VpuLFAjA

5 Signs Your Mental Health is Falling Apart
https://www.youtube.com/watch?v=2Aa-KTDTCEI&t=1s

Credits 
Writer: Spicevicious 
Script Editor: Kelly Soong 
VO: Amanda Silvera
Animator: Clarisse Lim Xingyi 
YouTube Manager: Cindy Cheong
Storyboarder: Yi Lin

Did you enjoy this animation? Would you like to see more? You can find more of Clarisse's work on our channel here: https://youtu.be/bny9YViO15o

References
American Academy of Pediatrics. (2020). ???Mood Disorders and ADHD.??? Healthy Children.org. Retrieved from https://www.healthychildren.org/English/health-issues/conditions/adhd/Pages/Mood-Disorders-ADHD.aspx

American Psychiatric Association. (2020). ???What Is Depression???? American Psychiatric Association. Retrieved from https://www.psychiatry.org/patients-families/depression/what-is-depression

Australian Government Department of Health. (2007). ???What is Mental Illness???? Australian Government Department of Health. Retrieved from 
https://www1.health.gov.au/internet/publications/publishing.nsf/Content/mental-pubs-w-whatmen-toc~mental-pubs-w-whatmen-what

Br??dvik L. (2018). Suicide Risk and Mental Disorders. International journal of environmental research and public health, 15(9), 2028. https://doi.org/10.3390/ijerph15092028

Harvard Medical School. (2020). ???Sleep and Mental Health.??? Harvard Health Publishing. Retrieved from https://www.health.harvard.edu/newsletter_article/sleep-and-mental-health

Healthline. (2020). ???Do I Have Anger Issues?  How to Identify and Treat an Angry Outlook.??? Healthline. Retrieved from https://www.healthline.com/health/anger-issues#causes

Kumari, R., Chaudhury, S., & Kumar, S. (2013). Dimensions of hallucinations and delusions in affective and nonaffective illnesses. ISRN psychiatry, 2013, 616304. https://doi.org/10.1155/2013/616304

Mental Health America. (2020). ???Mental Illness and the Family: Recognizing Warning Signs and How to Cope.??? Mental Health America. Retrieved from https://www.mhanational.org/recognizing-warning-signs

Mental Health Foundation. (2020). ???The Truth about Self-Harm.??? Mental Health Foundation. Retrieved from https://www.mentalhealth.org.uk/publications/truth-about-self-harm
MentalHelp.net. (2015). ???Recognizing Anger Signs.??? MentalHelp.net. Retrieved from https://www.mentalhelp.net/anger/recognizing-signs/

MentalHealth.gov. (2019). ???Mental Health and Substance Abuse Disorders.??? MentalHealth.gov. Retrieved from https://www.mentalhealth.gov/what-to-look-for/mental-health-substance-use-disorders

National Alliance for the Mentally Ill. (2020). ???Bipolar Disorder.??? National Alliance on Mental Illness. Retrieved from https://www.nami.org/learn-more/mental-health-conditions/bipolar-disorder

National Institute of Mental Health . (2020). ???Generalized Anxiety Disorder.??? National Institute of Mental Health. Retrieved from https://www.nimh.nih.gov/health/publications/generalized-anxiety-disorder-gad/index.shtml

National Alliance for the Mentally Ill. (2020). ???Psychosis.??? National Alliance on Mental Illness. Retrieved from https://www.nami.org/earlypsychosis

National Alliance for the Mentally Ill. (2020). ???10 Signs of Mental Illness??? National Alliance on Mental Illness. Retrieved from https://www.nami.org/learn-more/know-the-warning-signs

National Institute of Mental Health . (2020). ???Depression in Women: 5 Things You Should Know.??? National Institute of Mental Health. Retrieved from https://www.nimh.nih.gov/health/publications/depression-in-women/index.shtml

Raymond H. Starr, Howard Dubowitz, Chapter 41 - SOCIAL WITHDRAWAL AND ISOLATION, Editor(s): William B. Carey, Allen C. Crocker, William L. Coleman, Ellen Roy Elias, Heidi M. Feldman,

Developmental-Behavioral Pediatrics (Fourth Edition), W.B. Saunders,
2009, Pages 397-406, ISBN 9781416033707, https://doi.org/10.1016/B978-1-4160-3370-7.00041-9. (http://www.sciencedirect.com/science/article/pii/B9781416033707000419)

Trampe, D., Quoidbach, J., & Taquet, M. (2015). Emotions in Everyday Life. PloS one, 10(12), e0145450. https://doi.org/10.1371/journal.pone.0145450",https://www.youtube.com/watch?v=9B-wTp2PZH8,I highly appreciate the clean academic framing of these societal problems.,An intense but deeply necessary conversation regarding our daily core habits.,I never looked at the macro trends of mental health from this direct viewpoint.,This is highly relatable analysis. The segment on behavioral patterns is perfect.,My biggest issue is trying to break this cycle without feeling completely trapped.,Visual Hook,Off-Peak Hours (9AM-1PM),#mentalhealth,56086,55.93,93,Emerging (Pre-Mainstream)
Mental Health,Video,55195,3614,2213612,3301,2559,1030,"Psychologists Debunk 25 Mental-Health Myths | Business Insider asked three clinical psychologists to debunk 25 of the most common myths about mental health and therapy. They explain that schizophrenia is not about having multiple personalities and that obsessive-compulsive disorder is not just about being neat. They also delve into therapy ??? explaining that it???s not like having a paid friend and that it doesn???t last forever.

0:00 Intro
0:27 People with schizophrenia have multiple personalities 
0:47 All ???neat freaks??? have OCD
1:23 Bipolar disorder is just mood swings
1:51 Anxiety is just getting stressed out 
2:48 Being depressed is the same as being sad
3:27 Depression is not a real illness 
4:12 Talking about depression just makes it worse
4:57 Depression is always tied to one event 
5:22 Only women get depressed
5:53 Antidepressants and mood stabilizers change your personality 
6:32 Antidepressants always cure depression
6:55 Bad parenting causes mental illness 
7:27 Being gay or transgender is a mental illness 
8:31 Gun violence in the US is a mental-health issue 
9:06 All people exposed to trauma will have PTSD 
10:01 Everyone who experiences loss is devastated
10:49 There are five stages of loss
11:31 Myers-Briggs personality tests are reliable 
12:24 Therapy is about dredging up the past 
13:20 Therapy is like having a paid friend 
13:48 Therapy is for the weak
14:07 Therapists force you to discuss devastating events
14:59 Therapists encourage you to take medication 
15:45 Therapy is for life 
16:33 Only wealthy people can afford helpful therapy

MORE MYTHS DEBUNKED CONTENT:
Dietitians Debunk 18 Weight Loss Myths
https://www.youtube.com/watch?v=F94IY408Q4E
OB-GYNs Debunk 25 Pregnancy Myths
https://www.youtube.com/watch?v=Vm_zY2IC78c
Fitness Experts Debunk 17 Exercise Myths
https://www.youtube.com/watch?v=IW9hz1kZP2I

------------------------------------------------------

#Psychology #MentalHealth #ScienceInsider

Science Insider tells you all you need to know about science: space, medicine, biotech, physiology, and more. 

Visit us at: https://www.businessinsider.com
Science Insider on Facebook: https://www.facebook.com/BusinessInsiderScience/
Science Insider on Instagram: https://www.instagram.com/science_insider/
Business Insider on Twitter: https://twitter.com/businessinsider
Tech Insider on Twitter: https://twitter.com/techinsider
Business Insider/Tech Insider on Amazon Prime: http://read.bi/PrimeVideo

------------------------------------------------------
Psychologists Debunk 25 Mental Health Myths",https://www.youtube.com/watch?v=Ii5m8Ta1iBY,That specific point about where we go wrong was a massive wake-up call for me.,The psychological structural explanation here is exactly what I needed to hear.,An intense but deeply necessary conversation regarding our daily core habits.,The paradigm shift offered in this piece of content is profound.,I never looked at the macro trends of mental health from this direct viewpoint.,Visual Hook,Peak Hours (5PM-9PM),#psychology,7465,48.3,74,Emerging (Pre-Mainstream)
Mental Health,Short,71780,1179,1569303,3765,417,23,"Signs To Seek Help With Your Mental Health - Dr Julie #shorts | Subscribe to me @Dr Julie  for more videos on mental health and psychology. #mentalhealth #mentalhealthawareness #shorts

????Links below for my new No.1 bestselling book - Why has nobody told me this before?

Amazon UK - https://amzn.to/33DZFgO 
Audiobook UK - https://amzn.to/33cmsQA
Amazon USA - https://amzn.to/3qbo4Dp
Audiobook USA - https://amzn.to/3smyC2D
Other links - https://linktr.ee/drjuliesmith

Feel free to hit that SUBSCRIBE button for more videos! 


???? Instagram - https://instagram.com/drjulie
???? TikTok - https://www.tiktok.com/@drjuliesmith
????????????? Facebook - https://www.facebook.com/DrJulieSmith
???? Twitter - https://twitter.com/Dr_Julie_Smith
??????? Website - www.doctorjuliesmith.com

???? My No.1 Bestselling New Book Is Out Now ???? https://linktr.ee/drjuliesmith

WHO AM I:
I'm a clinical psychologist. I am here to share insights from therapy and psychology research so that you can make use of it in your daily life to understand how your mind works and optimise your own mental health. I cover all things from confidence and motivation to mood and anxiety. I look forward to chatting with you in the comments.",https://www.youtube.com/watch?v=W4cLDgjGRJA,i feel so targeted right now lowkey,saving this immediately,never thought about my mental health habits like this before,im literally trapped in this toxic cycle help,this short just exposed my whole life structure,Text Hook,Off-Peak Hours (9AM-1PM),#shorts,83586,19.16,35,Mainstream / Saturated
Mental Health,Short,73845,1142,1502462,3863,426,25,"?????? 4 Signs Of Burnout ???? - Dr Julie #shorts | Subscribe to me @Dr Julie  for more videos on mental health and psychology. #mentalhealth #stress #shorts

????Links below for my new No.1 bestselling book - Why has nobody told me this before?

Amazon UK - https://amzn.to/33DZFgO 
Audiobook UK - https://amzn.to/33cmsQA
Amazon USA - https://amzn.to/3qbo4Dp
Audiobook USA - https://amzn.to/3smyC2D
Other links - https://linktr.ee/drjuliesmith

Feel free to hit that SUBSCRIBE button for more videos! 


???? Instagram - https://instagram.com/drjulie
???? TikTok - https://www.tiktok.com/@drjuliesmith
????????????? Facebook - https://www.facebook.com/DrJulieSmith
???? Twitter - https://twitter.com/Dr_Julie_Smith
??????? Website - www.doctorjuliesmith.com

???? My No.1 Bestselling New Book Is Out Now ???? https://linktr.ee/drjuliesmith

WHO AM I:
I'm a clinical psychologist. I am here to share insights from therapy and psychology research so that you can make use of it in your daily life to understand how your mind works and optimise your own mental health. I cover all things from confidence and motivation to mood and anxiety. I look forward to chatting with you in the comments.",https://www.youtube.com/watch?v=bcqKV9Wh3t8,i always fall into this exact trap whyyy,brb crying in the club,never thought about my mental health habits like this before,i feel so targeted right now lowkey,this short just exposed my whole life structure,Text Hook,Peak Hours (5PM-9PM),#shorts,38394,20.36,39,Mainstream / Saturated
Mental Health,Short,341055,9407,5944724,18463,2175,34,#pov a teenager living with a mental health disorder??? #fyp #shorts #tiktok | ,https://www.youtube.com/watch?v=1Apzbky5wug,never thought about my mental health habits like this before,saving this immediately,bro this hits way too close to home ??,my daily struggle summarized in 30 seconds lol,this short just exposed my whole life structure,Text Hook,Off-Peak Hours (9AM-1PM),#pov,45331,7.43,25,Mainstream / Saturated
Mental Health,Short,225053,5019,4204227,12005,1376,37,"?????? Signs Your Mental Health Needs Attention ???? Dr. Julie #shorts | Feel free to hit that SUBSCRIBE button for more #mentalhealth #shorts #mentalhealthawareness videos! 

???? Pre-order My New Book ????
Amazon UK - https://amzn.to/33DZFgO 
Audiobook UK - https://amzn.to/33cmsQA
Amazon USA - https://amzn.to/3qbo4Dp
Audiobook USA - https://amzn.to/3smyC2D

??????? Website - www.doctorjuliesmith.com
???? Instagram - https://instagram.com/drjulie
????????????? Facebook - https://www.facebook.com/DrJulieSmith
???? Twitter - https://twitter.com/Dr_Julie_Smith
???? TikTok - https://www.tiktok.com/@drjuliesmith?

WHO AM I:
I'm a clinical psychologist. I am here to share insights from therapy and psychology research so that you can make use of it in your daily life to understand how your mind works and optimise your own mental health. I cover all things from confidence and motivation to mood and anxiety. I look forward to chatting with you in the comments. 

Not Therapy No Advice Via DM",https://www.youtube.com/watch?v=yAMfylWf31o,this short just exposed my whole life structure,the anxiety this just gave me...,never thought about my mental health habits like this before,brb crying in the club,bro this hits way too close to home ??,Text Hook,Peak Hours (5PM-9PM),#shorts,61463,47.64,86,Emerging (Pre-Mainstream)
Mental Health,Short,919463,28956,22235322,50316,6045,54,The truth about men???s mental health???#shorts | ,https://www.youtube.com/watch?v=RC1919tTab0,"felt this in my soul omg, thank you",saving this immediately,never thought about my mental health habits like this before,this is my exact problem fr,this short just exposed my whole life structure,Text Hook,Off-Peak Hours (9AM-1PM),#shorts,17223,11.65,25,Mainstream / Saturated
